AgeClass_2.1,Total_Returns,AgeClass_1.2,River_Kvichak,AgeClass_2.2,Year,Total_Returns_NextYear
5.94688772462506e-10,378138.280997038,331299.990064692,0,20219.1620337071,1963,759383.050311972
8.07157218338651e-06,759383.050311972,121361.342761154,0,286853.65940287,1964,397860.608256364
6.472763733368961e-09,397860.608256364,50293.2450260829,0,166914.93864006,1965,394077.159015449
0.0,394077.159015449,110266.243567286,0,6138.95631741,1966,344305.585577397
415.023382200934,344305.585577397,231001.909353708,0,1626.32571067297,1967,314033.557374858
1880.28152504957,314033.557374858,97650.4215483889,0,30953.023329648,1968,324288.955169264
509.92968359188,324288.955169264,110322.958582639,0,112243.297590412,1969,500779.511421109
0.0,500779.511421109,304544.093668233,0,29040.2718764478,1970,537293.524453276
2325.1893646584,537293.524453276,260360.126735236,0,13317.4626320725,1971,302589.30717202
0.0,302589.30717202,182414.447683053,0,59199.567021546,1972,63552.9693707139
0.0,63552.9693707139,1353.56258474515,0,685.373335848824,1973,247579.730446879
9.26187812321765e-10,247579.730446879,78027.4800440757,0,108529.167421717,1974,112656.701619766
0.0,112656.701619766,28837.9158028944,0,8320.09275050936,1975,157449.670683924
1.0263018204556e-09,157449.670683924,70319.7172587099,0,30123.1698122469,1976,234915.33416411
0.0,234915.33416411,2.10659443090841e-08,0,2.97670952157567e-08,1977,1110702.15448368
6.38785807830887e-08,1110702.15448368,722581.359778921,0,350599.519763644,1978,1620186.93918502
3.22550071716767e-08,1620186.93918502,8.16422606991052e-08,0,1551297.18495049,1979,855660.862369649
1.46139377608859,855660.862369649,0.0130203502526552,0,0.0242000187400006,1980,667234.69757733
0.0,667234.69757733,2.87778014771251e-07,0,1.89349592362714e-06,1981,1345575.81985953
0.0,1345575.81985953,561752.380683031,0,2.63081103636135e-08,1982,2664575.17756896
16623.3375478586,2664575.17756896,947783.062132826,0,512955.087149749,1983,1193249.44342189
5.1303709269791e-08,1193249.44342189,1.71255923882087e-08,0,1047576.63469065,1984,843580.108726095
4.34331103477996e-07,843580.108726095,174414.656177659,0,269864.31356015,1985,1020938.70832225
0.0,1020938.70832225,3.30042794883352e-08,0,1.59698126539881e-08,1986,780737.319080473
0.0,780737.319080473,3.11040645777601e-08,0,2.29899607776359e-08,1987,851134.598568929
1.18251687032876e-07,851134.598568929,403722.288022385,0,8.1492940204979e-08,1988,1379369.76653295
2.90229584732625e-08,1379369.76653295,86570.4268066248,0,4.31303444672068e-08,1989,1591425.18648978
3.99422731880819e-08,1591425.18648978,9.33481460050034e-08,0,1.1314926788431e-08,1990,1684654.87060508
3.48685556190173e-08,1684654.87060508,2.69687089578247e-08,0,1.34843544838847e-07,1991,1461638.5858147
9.667689936106061e-09,1461638.5858147,9.50608087674408e-09,0,1.18826011011931e-08,1992,2451734.91460459
7.71666475425494e-08,2451734.91460459,712704.841944845,0,615410.937758418,1993,2062023.39943197
5.06417998013343e-08,2062023.39943197,3.46728036109283e-08,0,691211.909936563,1994,2198777.94068358
3.29127159845605e-07,2198777.94068358,1012274.36267232,0,1.75824998710406e-07,1995,2383541.73513812
1.17132253485751e-08,2383541.73513812,3.10929991138278e-08,0,8.182368186463411e-09,1996,814336.197799176
0.0,814336.197799176,1463.53901417289,0,0.0028574057230692,1997,1185591.30318944
4.46890570593246e-08,1185591.30318944,9.60279929239396e-08,0,226712.783122949,1998,3028936.64962732
3.5323165856719904e-09,3028936.64962732,2028132.49256904,0,1106.66577731393,1999,2189169.95364768
0.0,2189169.95364768,40387.3104103675,0,1922.91169605244,2000,1186912.55495206
11.0732961268463,1186912.55495206,1871.38703178611,0,1162.69608485333,2001,941300.532766827
8095.76288245844,941300.532766827,9903.0144088113,0,85372.1284523524,2002,4157797.34513923
47.0123878646724,4157797.34513923,802308.796826708,0,269435.093626898,2003,7525949.13672296
3.861875732248291e-09,7525949.13672296,5559714.5741177,0,646231.010504353,2004,5224715.57924587
17.8963723393896,5224715.57924587,127914.746489427,0,34671.4739623912,2005,3342878.91777659
2.6908225396372703e-09,3342878.91777659,1774631.8424627,0,37516.6496544994,2006,4771232.68234795
3.28366455168492e-09,4771232.68234795,2760468.64933077,0,67960.4396480406,2007,4706011.45544888
3.3137610944095303e-09,4706011.45544888,860687.90830502,0,5381.48148886453,2008,2369159.92845688
3.2871775560735503e-09,2369159.92845688,741790.312619227,0,109723.987646765,2009,2815554.25637383
3.1261398344975104e-09,2815554.25637383,666876.142702747,0,127545.81053188,2010,2249301.6714231
2.56780172029575e-09,2249301.6714231,500487.025407792,0,54790.9602076992,2011,2227427.39917791
2486.66695484511,1991859.77312533,50461.3757551481,0,1064195.56658017,1963,2012601.39784247
397.259212380807,2012601.39784247,213842.155925381,0,1246563.36415206,1964,5170949.66989731
6.3796535382306e-09,5170949.66989731,47269.2127993653,0,4134127.5327971,1965,2903851.05100472
404.820397896867,2903851.05100472,3547.20084853706,0,383656.348945277,1966,1725062.79500242
2263.72482183759,1725062.79500242,2667.33665751979,0,716891.189438435,1967,1011976.91402385
5946.09094094016,1011976.91402385,61057.6685245574,0,513647.200688717,1968,2016715.50026297
