AgeClass_2.1,Total_Returns,AgeClass_1.2,River_Kvichak,AgeClass_2.2,AgeClass_2.3,River_Igushik,AgeClass_1.3,River_Nushagak,River_Egegik,Year,Total_Returns_NextYear
5.94688772462506e-10,378138.280997038,331299.990064692,0,20219.1620337071,13499.3987865245,0,13119.730112112,0,0,1963,759383.050311972
8.07157218338651e-06,759383.050311972,121361.342761154,0,286853.65940287,8577.2970628815,0,338122.232404937,0,0,1964,397860.608256364
6.472763733368961e-09,397860.608256364,50293.2450260829,0,166914.93864006,50738.8937718332,0,116448.344108643,0,0,1965,394077.159015449
0.0,394077.159015449,110266.243567286,0,6138.95631741,43428.8941591372,0,232930.743783171,0,0,1966,344305.585577397
415.023382200934,344305.585577397,231001.909353708,0,1626.32571067297,1.07349935010011e-09,0,104885.029508684,0,0,1967,314033.557374858
1880.28152504957,314033.557374858,97650.4215483889,0,30953.023329648,22573.0166335278,0,151684.161192015,0,0,1968,324288.955169264
509.92968359188,324288.955169264,110322.958582639,0,112243.297590412,819.210986777643,0,90731.091836029,0,0,1969,500779.511421109
0.0,500779.511421109,304544.093668233,0,29040.2718764478,73017.5129050708,0,88347.8488845848,0,0,1970,537293.524453276
2325.1893646584,537293.524453276,260360.126735236,0,13317.4626320725,17530.7969367517,0,229247.6170294,0,0,1971,302589.30717202
0.0,302589.30717202,182414.447683053,0,59199.567021546,8812.22642033874,0,52163.0660470705,0,0,1972,63552.9693707139
0.0,63552.9693707139,1353.56258474515,0,685.373335848824,9009.8650701927,0,52504.168379925,0,0,1973,247579.730446879
9.26187812321765e-10,247579.730446879,78027.4800440757,0,108529.167421717,2904.42524298189,0,54756.5338009252,0,0,1974,112656.701619766
0.0,112656.701619766,28837.9158028944,0,8320.09275050936,15545.3603760262,0,58491.2016343907,0,0,1975,157449.670683924
1.0263018204556e-09,157449.670683924,70319.7172587099,0,30123.1698122469,802.980124938575,0,56203.8034880226,0,0,1976,234915.33416411
0.0,234915.33416411,2.10659443090841e-08,0,2.97670952157567e-08,207343.173211308,0,27572.1609527256,0,0,1977,1110702.15448368
6.38785807830887e-08,1110702.15448368,722581.359778921,0,350599.519763644,2.13645956369201e-07,0,6686.6405200102,0,0,1978,1620186.93918502
3.22550071716767e-08,1620186.93918502,8.16422606991052e-08,0,1551297.18495049,3.79843046161305e-08,0,2.8488228459525e-08,0,0,1979,855660.862369649
1.46139377608859,855660.862369649,0.0130203502526552,0,0.0242000187400006,0.212863893700389,0,467274.994785132,0,0,1980,667234.69757733
0.0,667234.69757733,2.87778014771251e-07,0,1.89349592362714e-06,492798.395639225,0,157897.417413923,0,0,1981,1345575.81985953
0.0,1345575.81985953,561752.380683031,0,2.63081103636135e-08,94648.7997569247,0,689174.639419491,0,0,1982,2664575.17756896
16623.3375478586,2664575.17756896,947783.062132826,0,512955.087149749,145046.234689796,0,1026219.17470876,0,0,1983,1193249.44342189
