River,Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sst_aprjul,sst_anom,sss_mayaug,Total_Spawners_BroodYear
Bonneville Lock & Dam,1985,166340.0,0.0,0.0,0.0,0.0,0.0,1461.0,1732.0,0.0,0.0,585.0,12143.0,0.0,0.0,0.0,0.0,0.0,58123.0,-1.64,1010.006,25.64333333333333,-0.635,0.170517743,-0.81225,0.3725,0.002,12.268482685089111,-0.464134571769021,31.5960154900184,253516044.9924
Bonneville Lock & Dam,1986,58123.0,0.0,0.0,0.0,0.0,0.0,24062.0,9094.0,0.0,0.0,510.0,2371.0,158.0,0.0,0.0,0.0,0.0,116993.0,5.2,1004.794,26.156666666666663,0.315,-1.2994893666666667,-0.87225,1.13,0.46,12.450838565826416,-0.2817786910317164,31.513682548816384,140171998.662
Bonneville Lock & Dam,1987,116993.0,0.0,0.0,0.0,0.0,0.0,22999.0,2611.0,0.0,0.0,1673.0,12805.0,0.0,0.0,0.0,0.0,0.0,79714.0,3.62,1005.968,27.80333333333333,1.7283333333333333,0.3326573833333333,-1.07675,1.4975,1.086,12.612856149673462,-0.1197611071846704,31.73060255784255,207246638.0304
Bonneville Lock & Dam,1988,79714.0,0.0,0.0,0.0,0.0,0.0,547.0,13259.0,0.0,0.0,2057.0,5384.0,0.0,0.0,0.0,0.0,0.0,41884.0,1.21,1008.134,27.406666666666663,-1.16,0.8647857866666667,-0.383,0.5325,-0.286,12.518271684646606,-0.2143455722115259,31.21253666510949,173748264.8112
Bonneville Lock & Dam,1989,41884.0,0.0,0.0,0.0,0.0,0.0,298.0,3809.0,0.0,0.0,523.0,3052.0,210.0,0.0,0.0,0.0,0.0,49581.0,-2.68,1011.742,24.93,-0.8966666666666667,0.90987403,2.3985,-1.0175,-0.0859999999999999,12.952309131622314,0.219691874764182,31.87344807844896,295548090.1974
Bonneville Lock & Dam,1990,49581.0,0.0,0.0,0.0,0.0,0.0,7260.0,5001.0,0.0,0.0,393.0,7681.0,157.0,0.0,0.0,0.0,0.0,76481.0,-0.87,1010.906,26.686666666666667,0.1116666666666666,-0.0613260966666666,1.68725,-0.76,-0.314,12.745895385742188,0.0132781288840551,31.445733143733097,279468938.484
Bonneville Lock & Dam,1991,76481.0,0.0,0.0,0.0,0.0,0.0,4072.0,13678.0,0.0,0.0,1958.0,342.0,76.0,0.0,0.0,0.0,0.0,84992.0,0.45,1011.244,27.036666666666665,0.5566666666666666,-0.86051957,0.1492499999999999,-1.5550000000000002,-1.136,11.969432592391968,-0.7631846644661646,31.59170048053448,271652799.5568
Bonneville Lock & Dam,1992,84992.0,0.0,0.0,0.0,0.0,0.0,5170.0,5755.0,0.0,0.0,2894.0,15129.0,0.0,0.0,0.0,0.0,0.0,80178.0,2.14,1006.456,28.363333333333333,1.0266666666666666,-0.05881037,1.06725,0.04,1.056,13.73251724243164,0.9998999855735082,31.504708106701194,215203442.2938
Bonneville Lock & Dam,1993,80178.0,0.0,0.0,0.0,0.0,0.0,0.0,8043.0,0.0,0.0,0.0,5640.0,984.0,0.0,0.0,0.0,0.0,12678.0,-0.94,1008.754,26.82333333333333,1.0116666666666667,-2.2754968,1.5175,0.0775,1.686,13.359548568725586,0.6269313118674535,31.19323132588313,279170571.7422
Bonneville Lock & Dam,1994,12678.0,0.0,0.0,0.0,0.0,0.0,440.0,8583.0,0.0,0.0,146.0,1503.0,106.0,0.0,0.0,0.0,0.0,8774.0,-0.63,1010.356,26.8,0.5266666666666667,-1.9444107,0.15675,0.53,-0.53,12.846726417541504,0.1141091606833715,31.33834582108718,282314886.606
