AgeClass_2.1,Total_Returns,AgeClass_1.2,River_Kvichak,AgeClass_2.2,River_Igushik,AgeClass_1.3,Year,AgeClass_2.3,River_Egegik,Total_Returns_NextYear
87433.1591459845,17609473.737241,6056268.63210217,1,9731029.15918795,0,1002139.74787987,2014,679367.620011474,0,23103789.6874049
21.415483541965,2499048.61199872,179053.304944581,0,1657638.04164836,0,647818.202319307,2002,9008.42762022473,0,2540239.78894063
5808.64568426164,2884786.4946616,130455.479242418,0,330857.292990636,0,971787.012726111,1966,1443356.30120338,0,1555050.91365408
4.7662727555542105e-09,18192988.9596541,652916.622529594,1,14851620.6994626,0,959015.790900485,1990,1663050.62238422,0,8613126.79315834
0.0,3569959.42104111,547555.939104106,1,677133.031946363,0,2098055.6476268,2000,247104.976104451,0,1940224.70834125
31753.3720465885,5222906.78506534,354737.962299196,0,616859.469851407,0,1244917.68044809,1992,2484591.1239052,0,5577184.76242053
3330.47029776783,10860143.5009849,6695358.77405087,0,844961.10937458,0,2971244.67363118,2021,324454.850302903,0,7531752.08984953
1880.28152504957,314033.557374858,97650.4215483889,0,30953.023329648,0,151684.161192015,1968,22573.0166335278,0,324288.955169264
6553.65853925915,3604963.05279249,1880555.73257158,0,53209.32246796,0,1576519.49916722,2019,31764.3508648096,0,5078613.97535866
0.0,1230311.71896919,906912.973924536,0,4050.31401456347,1,312467.766126239,2017,3088.11756092064,0,1920088.32231608
0.0,2475860.1983152,206783.841276026,0,2100.87827708973,0,2223040.27062009,2015,3.3221875748633904e-09,0,2575667.3057219
3.53387605278922e-09,13203151.6074049,7737952.02207543,1,3920260.54867729,0,1062071.60333619,1999,477949.00043002,0,3569959.42104111
0.0,3195122.86622571,1225883.75435902,0,44470.3536875819,0,1822593.97986242,1990,34557.8850816372,0,4506270.80901817
1655.55782916099,2922090.78612157,1047221.51248463,0,697799.658671827,0,930354.803322147,2012,223237.847027269,0,2634359.70243476
46572.4199975416,6860048.61236509,2578692.80069278,1,1111077.28268785,0,2995169.76133723,1988,111121.69015563,0,20484408.0004728
21808.0075599687,4988743.49985075,1066919.59563798,0,1174215.2155265,0,2314050.32215778,2010,363068.508202989,0,4203387.32812133
9.26228294456243e-10,691785.044880413,154933.593198501,0,4075.14617142039,0,423104.905511225,2002,10398.0178138945,0,2409659.77058579
4331.49371526996,1222067.3645475,112176.052645247,0,549352.743846639,0,286245.422621693,1965,266999.301422026,0,2884786.4946616
66.9697353635688,492184.328001902,60852.4275762939,0,2906.78976450378,1,393266.121615957,2003,33171.4834414478,0,268355.560747262
34421.0693936044,1822083.25424686,342531.147158467,0,700969.83052858,0,416187.280068774,1968,303500.941721074,0,2641101.3196531
0.0,394077.159015449,110266.243567286,0,6138.95631741,0,232930.743783171,1966,43428.8941591372,0,344305.585577397
254.932377735562,2912820.42239662,610279.994285418,0,359615.215585859,0,397107.996294443,1977,1537578.3921498,0,2256809.7992713
